Date,13W_TB,5Y_TBY,10Y_TBY,30Y_TBY,DWJ,Year
1/31/2018,0.003508772,0.006781013,-0.002201027,-0.012751678,0.00278024,2018
2/1/2018,0.016083916,0.013866878,0.019485294,0.021414004,0.001427184,2018
2/2/2018,-0.002064694,0.015631106,0.029210242,0.030615641,-0.025423201,2018
2/5/2018,0.005517241,-0.030011543,-0.021023125,-0.009686794,-0.046048816,2018
2/6/2018,0.020576132,-0.005156684,-0.009305655,-0.007499185,0.023290307,2018
2/7/2018,0.018145161,0.022727273,0.027456647,0.023981603,-0.00077952,2018
2/8/2018,0,0.001169591,0.002461322,0.006416426,-0.041492607,2018
2/9/2018,0.00660066,-0.020249221,-0.007716591,-0.000318776,0.013848853,2018
2/12/2018,0.006557377,0.015500795,0.00989749,0.000318878,0.016963817,2018
2/13/2018,0.022801303,-0.002348337,-0.005950298,-0.002868983,0.001592601,2018
2/14/2018,-0.012738854,0.035700275,0.025704225,0.015664962,0.010269293,2018
2/15/2018,0.006451613,-0.001893939,-0.007552352,-0.011016682,0.012327721,2018
2/16/2018,0.006410256,-0.00341556,-0.004842615,-0.001909612,0.000754354,2018
2/20/2018,0.001910828,0.008377761,0.005561349,0.006058673,-0.0100966,2018
2/21/2018,0.022250477,0.011706949,0.017283097,0.020602219,-0.00668823,2018
2/22/2018,-0.001865672,-0.010078387,-0.008834523,-0.004347826,0.006641724,2018
2/23/2018,0,-0.012820513,-0.015769626,-0.014348097,0.013921293,2018
2/26/2018,0.001869159,-0.004201681,-0.004179728,-0.001582278,0.015775589,2018
2/27/2018,0.016791045,0.023782125,0.01713886,0.006022187,-0.011639381,2018
2/28/2018,-0.010397554,-0.007118771,-0.013755158,-0.014807813,-0.014987389,2018
3/1/2018,-0.017305315,-0.028301887,-0.022315202,-0.012472018,-0.01678919,2018
3/2/2018,0.009433962,0.018640777,0.018901569,0.01392487,-0.002881875,2018
3/5/2018,0.012461059,0.0080061,0.00840042,0.006387736,0.013721541,2018
3/6/2018,0.011076923,0.000378215,-0.001388407,-0.004760394,0.000376285,2018
3/7/2018,0.004260499,0.001512287,0.002085506,0.005102041,-0.003325816,2018
3/8/2018,-0.009090909,-0.006040015,-0.005896635,-0.006027919,0.003784067,2018
3/9/2018,0,0.007975693,0.009769714,0.008298755,0.017695372,2018
3/12/2018,0.004892966,-0.007159005,-0.00829302,-0.009496676,-0.006201911,2018
3/13/2018,0.028606208,-0.001897533,-0.007665505,-0.008948546,-0.006814514,2018
3/14/2018,0.016568047,-0.009125475,-0.010884831,-0.013866495,-0.009953601,2018
3/15/2018,0.008731083,0.006139678,0.003194888,0.000981033,0.004666752,2018
3/16/2018,0.00288517,0.00877193,0.007784855,0.006207122,0.002928801,2018
3/19/2018,-0.00575374,-0.001134216,-0.001053371,-0.000324675,-0.013452784,2018
3/20/2018,0.017361111,0.014761544,0.011950791,0.010068204,0.004727984,2018
3/21/2018,-0.027303754,0.006340918,0.009725599,0.006109325,-0.001818235,2018
3/22/2018,-0.015789474,-0.024462565,-0.025799794,-0.019175455,-0.029349765,2018
3/23/2018,0.002970885,-0.007978723,-0.000706215,0.002280873,-0.017726519,2018
3/26/2018,0.01007109,0.009191881,0.00459364,-0.001625488,0.02844492,2018
3/27/2018,0.016422287,-0.021252372,-0.020049244,-0.013676327,-0.014250122,2018
3/28/2018,-0.021927294,0.003877472,-0.003948313,-0.004952129,-0.000389392,2018
3/29/2018,-0.014749263,-0.010428737,-0.012252252,-0.01393497,0.010679533,2018
4/2/2018,0.007784431,-0.005074161,-0.003283473,-0.000672948,-0.019039867,2018
4/3/2018,0.017825312,0.021577089,0.019033675,0.016161616,0.016459435,2018
4/4/2018,-0.026269702,0.000768049,0.001436782,0.003313453,0.009609143,2018
4/5/2018,0.004196643,0.013046815,0.015781923,0.014861295,0.00992899,2018
4/6/2018,0.002985075,-0.019318182,-0.020127119,-0.01789782,-0.023360737,2018
4/9/2018,-0.00297619,0.004634994,0.003963964,0,0.001936258,2018
4/10/2018,0.011940299,0.00922722,0.003948313,-0.000331345,0.017886409,2018
4/11/2018,-0.001179941,-0.001904762,-0.002502681,-0.003646006,-0.008954031,2018
4/12/2018,0.007088009,0.019465649,0.015770609,0.011310712,0.012137523,2018
4/13/2018,0.007624633,0.001871958,-0.001764291,-0.001315789,-0.005020208,2018
4/16/2018,-0.002910361,0.002615845,0.001060445,-0.001976285,0.008739687,2018
4/17/2018,0.024518389,-0.001863586,-0.006355932,-0.010231023,0.008692046,2018
4/18/2018,0.008547009,0.019790889,0.018834399,0.015671891,-0.001555677,2018
4/19/2018,0.007344633,0.010618821,0.016393443,0.019369665,-0.00336107,2018
4/20/2018,-0.010095345,0.011956522,0.012697323,0.011916264,-0.008187752,2018
4/23/2018,0.0101983,0.009308987,0.0074551,0.000636537,-0.000582514,2018
4/24/2018,0.0224341,-0.002837886,0.003363606,0.007633588,-0.017365348,2018
4/25/2018,-0.004388371,0.008537887,0.013744552,0.012941919,0.002485002,2018
4/26/2018,-0.016528926,-0.005643739,-0.011243386,-0.010595201,0.009903325,2018
4/27/2018,-0.008403361,-0.006385243,-0.011036789,-0.015748031,-0.000458426,2018
4/30/2018,-0.003954802,-0.004284184,-0.007101792,-0.00896,-0.006089377,2018
5/1/2018,0.026659104,0.011473646,0.013623978,0.012915725,-0.0026528,2018
5/2/2018,-0.013812155,-0.0067352,-0.004032258,-0.000637552,-0.007223106,2018
5/3/2018,0.001680672,-0.007137759,-0.006072874,-0.00446571,0.000216092,2018
5/4/2018,0.002796421,-0.000718907,-0.000678887,-0.001922461,0.013888755,2018
5/7/2018,0,0.001438849,0.002038043,0.001605136,0.003907675,2018
5/8/2018,0.023424428,0.00862069,0.006440678,0.001602564,0.00011865,2018
5/9/2018,0.005449591,0.010683761,0.011788481,0.0096,0.007484747,2018
5/10/2018,0,-0.001761804,-0.010985353,-0.010776545,0.008026472,2018
5/11/2018,0.008130081,0.001764914,0,-0.003204101,0.003704193,2018
5/14/2018,-0.002688172,0.004933051,0.008078088,0.005785921,0.002748159,2018
5/15/2018,0.010781671,0.025596073,0.028380634,0.025567274,-0.007751188,2018
5/16/2018,-0.005333333,0.003076923,0.00487013,0.002181365,0.002530517,2018
5/17/2018,-0.001072386,-0.000681663,0.004523425,0.009328358,-0.002218505,2018
5/18/2018,-0.004294149,-0.013642565,-0.013509167,-0.011090573,4.49E-05,2018
5/21/2018,0.004312668,0.002074689,-0.000652103,-0.000934579,0.012065503,2018
5/22/2018,0.01610306,0.000345066,0,0.000623636,-0.007151398,2018
5/23/2018,-0.01056524,-0.023801311,-0.020228385,-0.012464942,0.002109976,2018
5/24/2018,-0.006940737,-0.004946996,-0.007326007,-0.011991164,-0.003015654,2018
5/25/2018,-0.003763441,-0.018465909,-0.016772895,-0.013094858,-0.002364605,2018
5/29/2018,-0.00701565,-0.068017366,-0.055612419,-0.039482201,-0.015821863,2018
5/30/2018,0.020652174,0.03765528,0.026734104,0.015498652,0.012574375,2018
5/31/2018,-0.004259851,-0.003367003,-0.007037298,-0.00928998,-0.010213323,2018
6/1/2018,-0.001069519,0.027777778,0.025868179,0.020093771,0.008984741,2018
6/4/2018,-0.001605996,0.017165814,0.014507772,0.012475378,0.007244915,2018
6/5/2018,0.020375335,-0.008258528,-0.006128703,-0.002918288,-0.000552518,2018
6/6/2018,-0.001576458,0.018464881,0.019184652,0.017886179,0.013968156,2018
6/7/2018,-0.007894737,-0.012797725,-0.014117647,-0.015974441,0.003778674,2018
6/8/2018,-0.00265252,-0.000720202,0.001363791,0.000649351,0.002976062,2018
6/11/2018,-0.006382979,0.00972973,0.00680967,0.005191434,0.000228309,2018
6/12/2018,0.010706638,0.002141328,0,-0.001936733,-6.24E-05,2018
6/13/2018,0.003707627,0.011396011,0.006763612,0.002910737,-0.004720638,2018
6/14/2018,-0.006332454,-0.008450704,-0.010413168,-0.010964205,-0.001027332,2018
6/15/2018,0.002655337,-0.006036932,-0.007467753,-0.00652103,-0.003369571,2018
6/18/2018,-0.002648305,0,0.000683995,0.002625533,-0.004105541,2018
6/19/2018,0.007966012,-0.011432655,-0.011278195,-0.008837971,-0.011496162,2018
6/20/2018,-0.005268704,0.010480665,0.012098168,0.011558785,-0.001716989,2018
6/21/2018,0.001059322,-0.01037196,-0.010587432,-0.006529546,-0.007952859,2018
6/22/2018,-0.010582011,0.002529816,0.001035554,0.000657246,0.004872515,2018
6/25/2018,-0.009090909,-0.011175198,-0.00862069,-0.006896552,-0.01334736,2018
6/26/2018,0.021586616,0.001822822,0.00173913,0.001322751,0.001249753,2018
6/27/2018,-0.006867406,-0.018558952,-0.018402778,-0.018824306,-0.00681626,2018
6/28/2018,0,0.010752688,0.007074637,0.002356109,0.004082497,2018
6/29/2018,0,0.001834189,0.000702494,0.001678979,0.002286087,2018
7/2/2018,0.007978723,0.008055657,0.005967006,0.002346631,0.00147375,2018
7/3/2018,0.02005277,-0.008354522,-0.009769714,-0.008026756,-0.005445305,2018
7/5/2018,-0.011898603,0.004029304,0.000704722,-0.004383007,0.007525185,2018
7/6/2018,-0.002617801,-0.006566946,-0.003169014,-0.004063664,0.004094965,2018
7/9/2018,0.005249344,0.010650018,0.01024373,0.00850051,0.013088965,2018
7/10/2018,0.010443864,0.007267442,0.004545455,0.001685772,0.005774402,2018
7/11/2018,-0.007751938,-0.011544012,-0.010790115,-0.008751262,-0.008796669,2018
7/12/2018,0.004166667,0.005474453,0.003870514,0.001697793,0.009086474,2018
7/13/2018,0,-0.010163339,-0.007711181,-0.005762712,0.003792193,2018
7/16/2018,0.005186722,0.00990099,0.009537266,0.011592226,0.001796605,2018
7/17/2018,0.019091847,0.003267974,0.00209937,0.001348163,0.002215496,2018
7/18/2018,-0.007594937,0.001809627,0.003840782,0.006058566,0.003160842,2018
7/19/2018,-0.006122449,-0.010115607,-0.00973913,-0.007360321,-0.00534896,2018
7/20/2018,-0.007700205,0.010218978,0.016859852,0.02157061,-0.000254543,2018
7/23/2018,-0.006725297,0.021676301,0.02417962,0.024084461,-0.000551917,2018
7/24/2018,0.020833333,-0.003536068,-0.00539629,-0.009020619,0.007892019,2018
