"Date","DXY","METALS","OIL","US_STK","INTL_STK","X13W_TB","X10Y_TBY","EURUSD","YEAR"
"4/5/2016",0.001269654,0.029277009,0.051825021,-0.009987545,-0.018044507,0.191256831,-0.029229904,-9.13078e-05,"2016"
"4/6/2016",-0.002113463,0.003878696,-0.012980132,0.010920873,0.011111177,0.009174312,0.016213086,-0.000614628,"2016"
"4/7/2016",0.000529525,0.017315384,0.066,-0.011965793,-0.011411681,0,-0.036467236,0.002018977,"2016"
"4/8/2016",-0.002540273,0.041215377,0,0.002696465,0.017528733,-0.009090909,0.017149616,-0.002718111,"2016"
"4/11/2016",-0.00307726,0.062280467,0.061681772,-0.002346881,0.002941328,-0.036697248,0.002325581,0.002554075,"2016"
"4/12/2016",0.000106461,0.016278864,-0.009722552,0.009313021,0.014243791,0.095238095,0.033062645,0.000867313,"2016"
"4/13/2016",0.008301394,-0.018520885,-0.006226054,0.010100801,0.014457001,-0.030434783,-0.010668164,-0.002448103,"2016"
"4/14/2016",0.001688875,-0.031365536,-0.02746988,4.78949e-05,0.001628476,-0.035874439,0.010783201,-0.009305243,"2016"
"4/15/2016",-0.002107534,0.025667987,0,-0.001105704,-0.001219609,-0.023255814,-0.016282987,-0.000799713,"2016"
"4/18/2016",-0.002217519,0.0065452,0.017839445,0.00702686,0.005698157,-0.057142857,0.011986301,0.002655718,"2016"
"4/19/2016",-0.005397344,0.058140992,0.037731256,0.003154206,0.015378552,0.085858586,0.005640158,0.000802658,"2016"
"4/20/2016",0.005426633,-0.01771299,0.012901712,0.000952962,-0.001196023,0.013953488,0.039820527,0.004475189,"2016"
"4/21/2016",0.001164144,0.013125602,0.012737378,-0.005378612,-0.004389286,0.032110092,0.008629989,-0.004803854,"2016"
"4/22/2016",0.005496882,-0.020946786,0,0,-0.001202313,0,0.009625668,-0.001152581,"2016"
"4/25/2016",-0.002943724,-0.008656901,0.007088955,-0.001722733,-0.004815556,0.057777778,0.007415254,-0.005133709,"2016"
"4/26/2016",-0.002846858,0.023827294,0.029291553,0.001486197,0.003629226,0.029411765,0.015247108,0.003110185,"2016"
"4/27/2016",-0.001903363,0.01657122,0.015442312,0.002058235,0.001606745,0,-0.036768514,0.002666608,"2016"
"4/28/2016",-0.006674404,0.041591778,-0.002389746,-0.009075834,-0.006418027,-0.142857143,-0.011827957,0.00265155,"2016"
"4/29/2016",-0.00725256,0.068469458,0,-0.005398726,-0.004440486,-0.080952381,-0.010337323,0.00237267,"2016"
"5/2/2016",-0.004834605,-0.022832472,-0.049433798,0.007948377,0.005677028,-0.041450777,0.02528862,0.009434751,"2016"
"5/3/2016",0.003346702,-0.038575993,0.002978236,-0.008703302,-0.018145093,0.097297297,-0.034852547,0.005405203,"2016"
"5/4/2016",0.00258229,-0.045397293,0.012334399,-0.005578212,-0.012320441,-0.024630542,-0.008888889,-0.001817789,"2016"
"5/5/2016",0.006439139,0.022577219,0.00767148,-0.000195121,-0.000831554,-0.075757576,-0.02073991,-0.000954447,"2016"
"5/6/2016",0.001172958,0.03969462,0,0.003659173,0.000832246,-0.016393443,0.018317115,-0.007573266,"2016"
"5/9/2016",0.00276923,-0.068338372,0,0.000826217,-0.003326214,0.127777778,-0.010680157,-0.001582498,"2016"
"5/10/2016",0.001486978,0.037706024,0.035154501,0.012433803,0.01334994,0.197044335,0,0,"2016"
"5/11/2016",-0.004984632,0.031078445,0.010166559,-0.009354549,-0.005352196,0.020576132,-0.013068182,-0.001195121,"2016"
"5/12/2016",0.003410776,-0.019943365,-0.010492505,0.000290527,-0.00165539,0.040322581,0.011514105,0.004627953,"2016"
"5/13/2016",0.004992586,0.005665453,0,-0.008714316,-0.009535909,0,-0.029595902,-0.004379977,"2016"
"5/16/2016",-0.000422799,0.025638031,0.045444709,0.009865362,0.008790449,0,0.028152493,-0.005273821,"2016"
"5/17/2016",-0.000211452,0.019280361,-0.002483958,-0.009333661,-0.003319507,0.03875969,0.003422704,-7.86431e-05,"2016"
"5/18/2016",0.005605489,-0.079731662,-0.000622536,0.000293035,-0.002913999,0.007462687,0.068789085,0,"2016"
"5/19/2016",0.002208656,0.019837428,-0.008513289,-0.003465114,-0.007098324,0.074074074,-0.018617021,-0.008226361,"2016"
"5/20/2016",0.000209854,0.001171854,0,0.006317349,0.007149071,0.027586207,0.002168022,-0.001512968,"2016"
